0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:39:31 +0900] "GET /search/img/mountfuji.jpg HTTP/1.1" 404 839
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:39:36 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 1115
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:39:36 +0900] "GET /yogi/yogiproject/search/img/mountfuji.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:23 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:23 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:23 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:41 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:41 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:41 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:45 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:45 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:45 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:45 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:45 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:40:45 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:43:30 +0900] "GET /yogi/yogiproject/Search_main.jsp HTTP/1.1" 500 4587
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:02 +0900] "GET /yogi/yogiproject/Recommend_main.jsp HTTP/1.1" 200 3161
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:02 +0900] "GET /yogi/css/Header.css HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [06/Feb/2023:23:44:02 +0900] "GET /yogi/js/Header.js HTTP/1.1" 404 832
